dataset,relative_path,absolute_path,size_bytes,extension,mime_type,sha256,archive_contents,parse_info,issues
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/city_house_munich/model_card.md,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/city_house_munich/model_card.md,419,.md,application/octet-stream,1145240580cedde9f90985f11c144ea261170c622d8d15ad99143b9189982512,null,"{""encoding"": ""ascii"", ""sample_lines"": 5}",
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/dental_clinic/license.txt,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/dental_clinic/license.txt,404,.txt,text/plain,9e3e0deafee61941c22d85bd744e9ab0e870691017600a97f24e5fa2a9b62298,null,"{""encoding"": ""ascii"", ""sample_lines"": 4}",
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/dental_clinic/model_card.md,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/dental_clinic/model_card.md,931,.md,application/octet-stream,ed324f3c923673e16b5c96de6ef5f5dc30ad0490fdaa4af1e331000cbcd299ae,null,"{""encoding"": ""ascii"", ""sample_lines"": 5}",
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/digital_hub/license.txt,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/digital_hub/license.txt,1141,.txt,text/plain,232af45af192ff1f35f230333091b2b222b559073e800849cb0f0e11092d924a,null,"{""encoding"": ""ascii"", ""sample_lines"": 5}",
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/digital_hub/model_card.md,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/digital_hub/model_card.md,1005,.md,application/octet-stream,511ca0519f101edc73740be4892eaa3273db0db1b559ae8fb385d428d46edd1f,null,"{""encoding"": ""ascii"", ""sample_lines"": 5}",
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/duplex/arc.ifc,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/duplex/arc.ifc,1656153,.ifc,application/octet-stream,707a032566dee8e969a44d95509be46d646440e2443624709f8d3ae2b45f4656,null,{},
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/duplex/license.txt,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/duplex/license.txt,401,.txt,text/plain,0fa6d676189799f0f7bd260b3d8b240bd097b41685d701b937fde7067456a1fe,null,"{""encoding"": ""ascii"", ""sample_lines"": 4}",
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/duplex/model_card.md,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/duplex/model_card.md,794,.md,application/octet-stream,52dad64cb8064d0d3bf37ab131b3bb26332349abb8c77038f10e66f45f5bdd90,null,"{""encoding"": ""utf-8"", ""sample_lines"": 5}",
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/ettenheim_gis/license.txt,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/ettenheim_gis/license.txt,664,.txt,text/plain,47ae3548194e4defc3400ba1b54a71966f5bc913211cd3a348c68235d8d4b19b,null,"{""encoding"": ""ascii"", ""sample_lines"": 5}",
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/ettenheim_gis/model_card.md,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/ettenheim_gis/model_card.md,433,.md,application/octet-stream,3b2d69988c209e7c9c4fde290bdd6809cdeae88aed19e67c8fb004151cb72cc3,null,"{""encoding"": ""ascii"", ""sample_lines"": 5}",
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/fantasy_hotel_1/license.txt,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/fantasy_hotel_1/license.txt,1094,.txt,text/plain,4ed1230e1a64393492643218e984c08b37dc2ae1369c56c85804effc311459d5,null,"{""encoding"": ""ascii"", ""sample_lines"": 5}",
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/fantasy_hotel_1/model_card.md,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/fantasy_hotel_1/model_card.md,429,.md,application/octet-stream,3f55ce8326c5d00ad578e16824bea7b0aaa1fa514e771aee46290d30b9b03be8,null,"{""encoding"": ""ascii"", ""sample_lines"": 5}",
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/fantasy_hotel_2/license.txt,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/fantasy_hotel_2/license.txt,1094,.txt,text/plain,4ed1230e1a64393492643218e984c08b37dc2ae1369c56c85804effc311459d5,null,"{""encoding"": ""ascii"", ""sample_lines"": 5}",
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/fantasy_hotel_2/model_card.md,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/fantasy_hotel_2/model_card.md,429,.md,application/octet-stream,70af190364ac590b6c100a0b3510de372f41df2404a7582b9ba4b51c92913f59,null,"{""encoding"": ""ascii"", ""sample_lines"": 5}",
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/fantasy_office_building_1/license.txt,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/fantasy_office_building_1/license.txt,1094,.txt,text/plain,4ed1230e1a64393492643218e984c08b37dc2ae1369c56c85804effc311459d5,null,"{""encoding"": ""ascii"", ""sample_lines"": 5}",
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/fantasy_office_building_1/model_card.md,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/fantasy_office_building_1/model_card.md,446,.md,application/octet-stream,6a970661835ae5464b677eba400d3a2da468850cf9e232e24041392740195b1e,null,"{""encoding"": ""ascii"", ""sample_lines"": 5}",
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/fantasy_office_building_2/license.txt,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/fantasy_office_building_2/license.txt,1094,.txt,text/plain,4ed1230e1a64393492643218e984c08b37dc2ae1369c56c85804effc311459d5,null,"{""encoding"": ""ascii"", ""sample_lines"": 5}",
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/fantasy_office_building_2/model_card.md,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/fantasy_office_building_2/model_card.md,446,.md,application/octet-stream,eb85c3e69a6d9f40e51b6a2d090d812c88b27dc9b62fe8abb50aeb3cc900b306,null,"{""encoding"": ""ascii"", ""sample_lines"": 5}",
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/fantasy_office_building_3/license.txt,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/fantasy_office_building_3/license.txt,1094,.txt,text/plain,4ed1230e1a64393492643218e984c08b37dc2ae1369c56c85804effc311459d5,null,"{""encoding"": ""ascii"", ""sample_lines"": 5}",
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/fantasy_office_building_3/model_card.md,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/fantasy_office_building_3/model_card.md,446,.md,application/octet-stream,691ac34810483889c05cbebfe60d99ac2cb53de8ab220f5804ecd32a30450e27,null,"{""encoding"": ""ascii"", ""sample_lines"": 5}",
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/fantasy_residential_building_1/license.txt,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/fantasy_residential_building_1/license.txt,1094,.txt,text/plain,4ed1230e1a64393492643218e984c08b37dc2ae1369c56c85804effc311459d5,null,"{""encoding"": ""ascii"", ""sample_lines"": 5}",
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/fantasy_residential_building_1/model_card.md,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/fantasy_residential_building_1/model_card.md,466,.md,application/octet-stream,dcf432728a5278b7f68b5955ad6e0a69fe8041c608ec30f212a0192f33ae8105,null,"{""encoding"": ""ascii"", ""sample_lines"": 5}",
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/fzk_house/license.txt,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/fzk_house/license.txt,355,.txt,text/plain,df953f8d88f873720f4b819fc580b1dc9c3f4f1ff5e16c946d7bd4c35bcf3cf6,null,"{""encoding"": ""ascii"", ""sample_lines"": 4}",
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/fzk_house/model_card.md,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/fzk_house/model_card.md,496,.md,application/octet-stream,e5b793e318e012d4f207b82f66544ed582bc3f0a7b33e4eb0f65309eead503dd,null,"{""encoding"": ""ascii"", ""sample_lines"": 5}",
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/hitos/license.txt,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/hitos/license.txt,664,.txt,text/plain,47ae3548194e4defc3400ba1b54a71966f5bc913211cd3a348c68235d8d4b19b,null,"{""encoding"": ""ascii"", ""sample_lines"": 5}",
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/hitos/model_card.md,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/hitos/model_card.md,433,.md,application/octet-stream,bedc042a2e3d4201f37d5fddaed9c35f391f74e6f9ecba86cc370490062ad124,null,"{""encoding"": ""ascii"", ""sample_lines"": 5}",
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/molio/license.txt,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/molio/license.txt,328,.txt,text/plain,0e7810040d1aff5bd870bef7cf5c4675a6fb11a49113c7115152b4a8b8efd810,null,"{""encoding"": ""ascii"", ""sample_lines"": 4}",
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/molio/model_card.md,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/molio/model_card.md,478,.md,application/octet-stream,098d46b0529b39575ec4aac4d675c727f97a57a5d6f86864fa04b0da398b99a5,null,"{""encoding"": ""ascii"", ""sample_lines"": 5}",
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/samuel_macalister_sample_house/license.txt,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/samuel_macalister_sample_house/license.txt,664,.txt,text/plain,47ae3548194e4defc3400ba1b54a71966f5bc913211cd3a348c68235d8d4b19b,null,"{""encoding"": ""ascii"", ""sample_lines"": 5}",
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/samuel_macalister_sample_house/model_card.md,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/samuel_macalister_sample_house/model_card.md,618,.md,application/octet-stream,a5f11ef2fbf20950bac35cce3c8deeb927da2d4deda0ac0249e38b7391f325f5,null,"{""encoding"": ""ascii"", ""sample_lines"": 5}",
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/schependomlaan/license.txt,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/schependomlaan/license.txt,216,.txt,text/plain,aec3da830db52f4a331d6b2252e038c245749879f90570da1eb023c61e3d9e5e,null,"{""encoding"": ""ascii"", ""sample_lines"": 3}",
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/schependomlaan/model_card.md,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/schependomlaan/model_card.md,439,.md,application/octet-stream,4feb14232157b80c6ef4cec7a474dace40229a32a6a948d0178fa878be5b1004,null,"{""encoding"": ""ascii"", ""sample_lines"": 5}",
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/sixty5/license.txt,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/sixty5/license.txt,335,.txt,text/plain,6cf6c9c5da2e192d888b3727eb23632c17096f0fae23f8295d853cc3a71c4d41,null,"{""encoding"": ""ascii"", ""sample_lines"": 4}",
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/sixty5/model_card.md,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/sixty5/model_card.md,1441,.md,application/octet-stream,8abb1b6f1b78644f6c87b9af7cedc52c41806a586d60df721a84666adaf170a9,null,"{""encoding"": ""ascii"", ""sample_lines"": 5}",
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/smiley_west/license.txt,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/smiley_west/license.txt,355,.txt,text/plain,df953f8d88f873720f4b819fc580b1dc9c3f4f1ff5e16c946d7bd4c35bcf3cf6,null,"{""encoding"": ""ascii"", ""sample_lines"": 4}",
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/smiley_west/model_card.md,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/smiley_west/model_card.md,500,.md,application/octet-stream,af90de55afe7b0a4c0521db74934b3bcfebe2cc1069a90770d06a8807823f119,null,"{""encoding"": ""ascii"", ""sample_lines"": 5}",
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/wbdg_office/license.txt,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/wbdg_office/license.txt,404,.txt,text/plain,9e3e0deafee61941c22d85bd744e9ab0e870691017600a97f24e5fa2a9b62298,null,"{""encoding"": ""ascii"", ""sample_lines"": 4}",
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/wbdg_office/model_card.md,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/wbdg_office/model_card.md,771,.md,application/octet-stream,0087e82d8d795560c6c0078aa03fc107a4d13a42c3e8f9fe45e4c6730a5373cf,null,"{""encoding"": ""ascii"", ""sample_lines"": 5}",
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/west_riverside_hospital/license.txt,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/west_riverside_hospital/license.txt,1059,.txt,text/plain,2d7d4e28831e12cc6ae47ec03560d602e139f1f73617bb2ed3dfe1782e8c97f4,null,"{""encoding"": ""ascii"", ""sample_lines"": 5}",
construction_bim_core,Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/west_riverside_hospital/model_card.md,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/construction_bim_core/projects/west_riverside_hospital/model_card.md,4571,.md,application/octet-stream,3513e60bbaa3202fb9c54a014bdcbe38b46ba7b426e3ecc45f3b11d33ef4b6ff,null,"{""encoding"": ""ascii"", ""sample_lines"": 5}",
legal_general_retrieval_eval,Cerebrum-Blocks/block_store/kits/legal_general_retrieval_eval/LICENSE,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/legal_general_retrieval_eval/LICENSE,1078,,application/octet-stream,f96e875092ca8ab29cf198697cc98289ae9df4e7f9de300f060b3b3e03e8bcaa,null,{},
legal_general_retrieval_eval,Cerebrum-Blocks/block_store/kits/legal_general_retrieval_eval/README.md,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/legal_general_retrieval_eval/README.md,5734,.md,application/octet-stream,bb89ce40b68f0803b1bfdfb48ae176a5f29d3ed874bcb1cbbdf52ead0e0d9871,null,"{""encoding"": ""utf-8"", ""sample_lines"": 5}",
legal_general_retrieval_eval,Cerebrum-Blocks/block_store/kits/legal_general_retrieval_eval/benchmarks/contractnli.json,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/legal_general_retrieval_eval/benchmarks/contractnli.json,1079894,.json,application/json,bc60963c4880e3db3141e96f3a7b75e1dbe195cba8f10f0658872f43430fc77a,null,"{""rows"": null, ""type"": ""dict"", ""keys"": [""tests""]}",
legal_general_retrieval_eval,Cerebrum-Blocks/block_store/kits/legal_general_retrieval_eval/benchmarks/cuad.json,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/legal_general_retrieval_eval/benchmarks/cuad.json,5331921,.json,application/json,8e0405b15fb8869c631da424372b488e274f253a81634b78803b21c72c0601f9,null,"{""rows"": null, ""type"": ""dict"", ""keys"": [""tests""]}",
legal_general_retrieval_eval,Cerebrum-Blocks/block_store/kits/legal_general_retrieval_eval/benchmarks/maud.json,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/legal_general_retrieval_eval/benchmarks/maud.json,3259893,.json,application/json,82ef159b87f73a9c68e7143fac88bf47ac212713b56617d7e87d6f1f0a781daf,null,"{""rows"": null, ""type"": ""dict"", ""keys"": [""tests""]}",
legal_general_retrieval_eval,Cerebrum-Blocks/block_store/kits/legal_general_retrieval_eval/benchmarks/privacy_qa.json,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/legal_general_retrieval_eval/benchmarks/privacy_qa.json,376390,.json,application/json,12c7afcb0e6e84cdff59914495c3bce005d10bb4665cae12b64a9b57af8fb7b6,null,"{""rows"": null, ""type"": ""dict"", ""keys"": [""tests""]}",
legal_general_retrieval_eval,Cerebrum-Blocks/block_store/kits/legal_general_retrieval_eval/corpus/contractnli/01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.txt,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/legal_general_retrieval_eval/corpus/contractnli/01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.txt,15363,.txt,text/plain,2fde4ae3dcf8c49f2c0a819ddc2d4ed33c96141fc25a0cc2d34afe5576558f79,null,"{""encoding"": ""utf-8"", ""sample_lines"": 5}",
legal_general_retrieval_eval,Cerebrum-Blocks/block_store/kits/legal_general_retrieval_eval/corpus/contractnli/12032018_NDA_The%20Munt_EN.txt,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/legal_general_retrieval_eval/corpus/contractnli/12032018_NDA_The%20Munt_EN.txt,6933,.txt,text/plain,4a7b721fbe26c187b45a136f743905fc88cd090e88ecad8f2e692d5ac1cd0ec1,null,"{""encoding"": ""utf-8"", ""sample_lines"": 5}",
legal_general_retrieval_eval,Cerebrum-Blocks/block_store/kits/legal_general_retrieval_eval/corpus/contractnli/5-NSK-Confidentiality-Agreement-for-Suppliers.txt,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/legal_general_retrieval_eval/corpus/contractnli/5-NSK-Confidentiality-Agreement-for-Suppliers.txt,12526,.txt,text/plain,51bc00059fc8a1982718dde0fca6cbc0bcf65db899041a1b22c940d776ed79fd,null,"{""encoding"": ""utf-8"", ""sample_lines"": 5}",
legal_general_retrieval_eval,Cerebrum-Blocks/block_store/kits/legal_general_retrieval_eval/corpus/contractnli/ADVANIDE-NON-DISCLOSURE-AGREEMENT.txt,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/legal_general_retrieval_eval/corpus/contractnli/ADVANIDE-NON-DISCLOSURE-AGREEMENT.txt,6201,.txt,text/plain,c1e6dc2b50e0a8f05fb1ec94e9937e46a8d3d7344e18fde4d88d70cb96a00ac4,null,"{""encoding"": ""utf-8"", ""sample_lines"": 5}",
legal_general_retrieval_eval,Cerebrum-Blocks/block_store/kits/legal_general_retrieval_eval/corpus/contractnli/AfriGIS_Client-NDA_Template_2019.txt,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/legal_general_retrieval_eval/corpus/contractnli/AfriGIS_Client-NDA_Template_2019.txt,24308,.txt,text/plain,e813f936d17b5794f00dcf335ce2bdd23dbf4596114dfc2ecbf3fe6cf24808a9,null,"{""encoding"": ""utf-8"", ""sample_lines"": 5}",
legal_general_retrieval_eval,Cerebrum-Blocks/block_store/kits/legal_general_retrieval_eval/corpus/contractnli/AGProjects-NDA.txt,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/legal_general_retrieval_eval/corpus/contractnli/AGProjects-NDA.txt,8436,.txt,text/plain,af8288e85baeb727e176bbfa849aab989e2a8d0bc9f89a171ffec9faa4ff44e8,null,"{""encoding"": ""utf-8"", ""sample_lines"": 5}",
legal_general_retrieval_eval,Cerebrum-Blocks/block_store/kits/legal_general_retrieval_eval/corpus/contractnli/amc-general-mutual-non-disclosure-agreement-en-gb.txt,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/legal_general_retrieval_eval/corpus/contractnli/amc-general-mutual-non-disclosure-agreement-en-gb.txt,10471,.txt,text/plain,a4408000dd6c9b4bf17ff9f3228da188cdbf6b13f9e6bab83feb3bd1e6e1615b,null,"{""encoding"": ""utf-8"", ""sample_lines"": 5}",
legal_general_retrieval_eval,Cerebrum-Blocks/block_store/kits/legal_general_retrieval_eval/corpus/contractnli/Aspiegel_NDA_template.txt,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/legal_general_retrieval_eval/corpus/contractnli/Aspiegel_NDA_template.txt,12931,.txt,text/plain,35dffa175515e10f3a4c9bbe61c49bae5f8a1e6d619336613273fbe0ce0e78b1,null,"{""encoding"": ""utf-8"", ""sample_lines"": 5}",
legal_general_retrieval_eval,Cerebrum-Blocks/block_store/kits/legal_general_retrieval_eval/corpus/contractnli/BCG-Mutual-NDA.txt,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/legal_general_retrieval_eval/corpus/contractnli/BCG-Mutual-NDA.txt,8683,.txt,text/plain,6cd0c1665fefd68f7d01891ea6461f143dea30bf36fa8ef72d45c593f248febc,null,"{""encoding"": ""utf-8"", ""sample_lines"": 5}",
legal_general_retrieval_eval,Cerebrum-Blocks/block_store/kits/legal_general_retrieval_eval/corpus/contractnli/BT_NDA.txt,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/legal_general_retrieval_eval/corpus/contractnli/BT_NDA.txt,10602,.txt,text/plain,3515f51a7c25a9eb5991dc3a9e3421b8b6d99d50dcde21abcbeb17652d84da43,null,"{""encoding"": ""utf-8"", ""sample_lines"": 5}",
legal_general_retrieval_eval,Cerebrum-Blocks/block_store/kits/legal_general_retrieval_eval/corpus/contractnli/CBP%20Non-Disclosure%20Form_October2018.txt,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/legal_general_retrieval_eval/corpus/contractnli/CBP%20Non-Disclosure%20Form_October2018.txt,12938,.txt,text/plain,e357bc04d41e4165e97d7579f04446517ad74675de15204d6988751560e6dd25,null,"{""encoding"": ""utf-8"", ""sample_lines"": 5}",
legal_general_retrieval_eval,Cerebrum-Blocks/block_store/kits/legal_general_retrieval_eval/corpus/contractnli/ceii-and-nda.txt,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/legal_general_retrieval_eval/corpus/contractnli/ceii-and-nda.txt,16687,.txt,text/plain,772d7e864c838149da4b5b0074f5954fcaafac9648ae4578522cec208d703ed9,null,"{""encoding"": ""utf-8"", ""sample_lines"": 5}",
legal_general_retrieval_eval,Cerebrum-Blocks/block_store/kits/legal_general_retrieval_eval/corpus/contractnli/CopAcc_NDA-and-ToP-Mentors_2.0_2017.txt,C:/Users/shimm/Cerebrum-Blocks/block_store/kits/legal_general_retrieval_eval/corpus/contractnli/CopAcc_NDA-and-ToP-Mentors_2.0_2017.txt,14977,.txt,text/plain,189543a6b7b162609cd8de15730b6f7084b8956a666a2befaca102013226f3d3,null,"{""encoding"": ""utf-8"", ""sample_lines"": 5}",
