Laws,Link,category
12(4) of the RTS on OTC derivatives,12(4) of the RTS on OTC derivatives,EMIR
13 of the RTS on OTC derivatives,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32013R0149,EMIR
14 of EMIR,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-14-authorisation-ccp,EMIR
11(1) of RTS on CCP requirements,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-11-risk-mitigation-techniques-otc,EMIR
14 of the RTS on OTC derivatives,https://eur-lex.europa.eu/eli/reg_del/2017/2155/oj,EMIR
15 of the RTS on OTC derivatives,https://eur-lex.europa.eu/eli/reg_del/2017/2155/oj,EMIR
16 of EMIR,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-16-capital-requirements,EMIR
18 of EMIR,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-18-college,EMIR
2 of EMIR,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-2-definitions,EMIR
2 of RTS on IRS in G4 currencies,https://www.esma.europa.eu/sites/default/files/library/esma70-1861941480-52_qa_on_emir_implementation.pdf,EMIR
2 of RTS on Third Country contracts,https://www.eba.europa.eu/activities/single-rulebook/regulatory-activities/resolution/regulatory-technical-standards-0,EMIR
89 of EMIR,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-89-transitional-provisions,EMIR
2(10) of EMIR,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-2-definitions,EMIR
26 of EMIR,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-26-general-provisions,EMIR
28 of EMIR,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-28-risk-committee,EMIR
4(2) of EMIR,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-4-clearing-obligation,EMIR
11(6)  to 11(10) of EMIR,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-11-risk-mitigation-techniques-otc,EMIR
3 of EMIR,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-3-intragroup-transactions,EMIR
35 of RTS on CCP requirement,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/mifir/article-35-non-discriminatory-access-ccp-0,EMIR
38 of EMIR,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-38-transparency,EMIR
39 of EMIR,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-39-segregation-and-portability,EMIR
4 of EMIR,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-4-clearing-obligation,EMIR
41 of EMIR,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-41-margin-requirements,EMIR
27(3) of RTS on CCP requirements,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/mifid-ii/article-27-obligation-execute-orders,EMIR
42 of EMIR,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-42-default-fund,EMIR
48(2) of EMIR,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-48-default-procedures,EMIR
43(3) of EMIR,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-43-other-financial-resources,EMIR
45(4) of EMIR,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-45-default-waterfall,EMIR
46 of EMIR,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-46-collateral-requirements,EMIR
37 of RTS on CCP requirements,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-37-participation-requirements,EMIR
47 of EMIR,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-47-investment-policy,EMIR
48 of EMIR,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-48-default-procedures,EMIR
49 of EMIR ,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-49-review-models-stress-testing-and,EMIR
10 of EMIR,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-10-non-financial-counterparties,EMIR
4a of EMIR,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-4a-financial-counterparties-are,EMIR
5 of the ITS on reporting to TR,https://www.esma.europa.eu/sites/default/files/library/esma70-1861941480-52_qa_on_emir_implementation.pdf,EMIR
56 of EMIR,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-56-application-registration,EMIR
6 of EMIR,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-6-public-register,EMIR
81 of EMIR,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-81-transparency-and-data,EMIR
9 of EMIR,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-9-reporting-obligation,EMIR
Art 2.1 of RTS on Third Country contracts,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-2-definitions,EMIR
Article 10 of EMIR,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-10-non-financial-counterparties,EMIR
Article 16 of the ESMA Regulation,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/mifid-ii/article-16-organisational-requirements,EMIR
Article 19(6) of Directive 2004/39/EC,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:02004L0039-20110104,EMIR
Article 2(3)(g) of AIFMD,https://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2011:174:0001:0073:EN:PDF,EMIR
Article 2(7) of EMIR,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-2-definitions,EMIR
Article 2(8) of EMIR,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-2-definitions,EMIR
Article 29(2) of the ESMA Regulation,"https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/ucits/article-29#:~:text=2.,whenever%20an%20authorisation%20is%20refused.",EMIR
Article 2a of EMIR,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-2a-equivalence-decisions-purposes,EMIR
Article 3(2) of the AIFMD,https://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2011:174:0001:0073:EN:PDF,EMIR
Article 4(1)(14) of Directive 2004/39/EC,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:02004L0039-20110104,EMIR
Article 4(1)(b)(ii) of EMIR,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-4-clearing-obligation,EMIR
Article 4(2)(b) of RTS 2017/2155 amending RTS 149/2013,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32017R2155,EMIR
Article 4(3) of EMIR,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-4-clearing-obligation,EMIR
 Article 2 RTS on OTC derivatives,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-2-definitions,EMIR
Article 4(4) of EMIR,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-4-clearing-obligation,EMIR
Article 4(9) of MiFID,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/mifid-ii/article-4-definitions,EMIR
Article 42 of the AIFMD,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32011L0061,EMIR
Article10(2) for FCs and NFCs,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-10-non-financial-counterparties,EMIR
Article 4a(2) for FCs and NFCs,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-4a-financial-counterparties-are,EMIR
Article 10(3) of EMIR,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-10-non-financial-counterparties,EMIR
Article 4a(3) of EMIR,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-4a-financial-counterparties-are,EMIR
Article 61(3) of AIFMD,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32011L0061,EMIR
Article 61(4) of AIFMD,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32011L0061,EMIR
Article 9(1) of EMIR,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-9-reporting-obligation,EMIR
Articles 9(1b) to (1d) EMIR,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-9-reporting-obligation,EMIR
Directive 2006/48/EC,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32006L0048,EMIR
Directive 2006/49/EC,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32006L0049,EMIR
Directive 2011/61/EU,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32011L0061,EMIR
Directive 2011/61/EU,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32011L0061,EMIR
Directive 83/349/EEC,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A31983L0349,EMIR
European Commission FAQ no. 14,https://commission.europa.eu/system/files/2016-12/emir-faqs-10072014_en.pdf,EMIR
Guideline and Recommendation 3(b)(v),https://www.esma.europa.eu/sites/default/files/library/2015/11/esma_guidelines_u_recommendations_on_interoperability_arrangements_-_as_approved_by_bos_20130314.pdf,EMIR
Article 1(c) of the Commission Delegated Regulation,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32023R1193,EMIR
article 13(2) of EMIR,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-13-mechanism-avoid-duplicative-or,EMIR
article 16b(5) of the ESMA Regulation,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32010R1093,EMIR
EMIR Article 11(2),https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-11-risk-mitigation-techniques-otc,EMIR
Article 4(1)(b)(ii) of EMIR,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-4-clearing-obligation,EMIR
Article 4(2)(b) of RTS 2017/2155,https://eur-lex.europa.eu/eli/reg_del/2017/2155/oj,EMIR
Article 4(4)(b) of the Indirect Clearing RTS,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32017R2154,EMIR
(EU) No 285/2014,https://eur-lex.europa.eu/eli/reg_del/2014/285/oj,EMIR
Article 46(1) of EMIR,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-46-collateral-requirements,EMIR
Articles 48(5) of EMIR,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-48-default-procedures,EMIR
Articles 48(6) of EMIR,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-48-default-procedures,EMIR
Article 39(7) of EMIR,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-39-segregation-and-portability,EMIR
Article 47(3) of EMIR,https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook/emir/article-47-investment-policy,EMIR
Settlement Finality Directive (98/26/EC),https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A31998L0026,EMIR
Article 47 Model Validation (of the Commission delegated Regulation,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32013R0153,EMIR
Commission Delegated Regulation No 2013/153,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32013R0153,EMIR
Recital 13 of Commission Delegated Regulation No 2013/153,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32013R0153,EMIR
Commission Regulation (EC) No 1126/2008,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex%3A32008R1126,EMIR
Section 13(3) of the Federal Reserve Act (Emergency Lending Authority),https://www.federalreserve.gov/aboutthefed/section13.htm,Federal Reserve
Regulation A (Extensions of Credit by Federal Reserve Banks),https://www.federalregister.gov/documents/2022/04/18/2022-08254/regulation-a-extensions-of-credit-by-federal-reserve-banks,Federal Reserve
Regulation D (Reserve Requirements of Depository Institutions),https://www.federalregister.gov/documents/2021/06/04/2021-11758/regulation-d-reserve-requirements-of-depository-institutions,Federal Reserve
Regulation Q (Prohibition Against Payment of Interest on Demand Deposits),https://www.ecfr.gov/current/title-12/chapter-II/subchapter-A/part-217,Federal Reserve
Regulation T (Credit by Brokers and Dealers),https://www.ecfr.gov/current/title-12/chapter-II/subchapter-A/part-220,Federal Reserve
Regulation U (Credit by Banks for Securities Purchases),https://www.federalreserve.gov/supervisionreg/regucg.htm,Federal Reserve
Regulation CC (Availability of Funds and Collection of Checks),https://www.federalreserve.gov/paymentsystems/regcc-about.htm,Federal Reserve
Regulation Z (Truth in Lending Act),https://www.ecfr.gov/current/title-12/chapter-II/subchapter-A/part-226,Federal Reserve
Regulation H (Membership of State Banking Institutions in the Federal Reserve System),https://www.ecfr.gov/current/title-12/chapter-II/subchapter-A/part-208?toc=1,Federal Reserve
Regulation Y (Bank Holding Companies and Change in Bank Control),https://www.ecfr.gov/current/title-12/chapter-II/subchapter-A/part-225,Federal Reserve
Regulation P (Privacy of Consumer Financial Information),https://www.federalregister.gov/documents/2011/12/21/2011-31729/privacy-of-consumer-financial-information-regulation-p,Federal Reserve
Regulation X (Borrower Restraints on Credit Transactions),https://www.federalregister.gov/documents/2024/07/24/2024-15475/streamlining-mortgage-servicing-for-borrowers-experiencing-payment-difficulties-regulation-x,Federal Reserve
Regulation BB (Community Reinvestment Act),https://www.federalregister.gov/documents/2024/02/01/2023-25797/community-reinvestment-act,Federal Reserve
Regulation J (Collection of Checks and Other Items by Federal Reserve Banks),https://www.federalregister.gov/documents/2022/06/06/2022-11090/collection-of-checks-and-other-items-by-federal-reserve-banks-and-funds-transfers-through-fedwire,Federal Reserve
"Regulation O (Loans to Executive Officers, Directors, and Principal Shareholders)",https://www.ecfr.gov/current/title-12/chapter-II/subchapter-A/part-215,Federal Reserve
Regulation R (Exceptions for Banks from Securities Broker Activities),"https://www.sec.gov/divisions/marketreg/tmcompliance/regulation_r_secg.htm#:~:text=Specifically%2C%20Regulation%20R%20implements%20the,%22broker%22%20exceptions%20for%20banks.",Federal Reserve
Appraisals (Part 323),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-323,FDIC
Capital Adequacy of FDIC-Supervised Institutions (Part 324),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-324,FDIC
Stress Testing (Part 325),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-325,FDIC
Minimum Security Devices and BSA Compliance (Part 326),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-326,FDIC
Assessments (Part 327),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-327,FDIC
Advertisement of Membership (Part 328),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-328,FDIC
Liquidity Risk Measurement Standards (Part 329),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-329,FDIC
Deposit Insurance Coverage (Part 330),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-330,FDIC
Federal Interest Rate Authority (Part 331),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-331,FDIC
Privacy of Consumer Financial Information (Part 332),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-332,FDIC
Extension of Corporate Powers (Part 333),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-333,FDIC
Fair Credit Reporting (Part 334),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-334,FDIC
Securities of State Nonmember Banks and Savings Associations (Part 335),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-335,FDIC
FDIC Employees (Part 336),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-336,FDIC
Unsafe and Unsound Banking Practices (Part 337),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-337,FDIC
Fair Housing (Part 338),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-338,FDIC
Loans in Flood Hazard Areas (Part 339),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-339,FDIC
Restrictions on Sale of Assets of Failed Institutions (Part 340),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-340,FDIC
Securities Transfer Agents (Part 341),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-341,FDIC
Consumer Protection in Sales of Insurance (Part 343),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-343,FDIC
Recordkeeping for Securities Transactions (Part 344),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-344,FDIC
Community Reinvestment (Part 345),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-345,FDIC
CRA-Related Disclosure and Reporting (Part 346),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-346,FDIC
International Banking (Part 347),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-347,FDIC
Management Official Interlocks (Part 348),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-348,FDIC
Derivatives (Part 349),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-349,FDIC
Proprietary Trading and Covered Funds (Part 351),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-351,FDIC
Nondiscrimination on the Basis of Disability (Part 352),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-352,FDIC
Suspicious Activity Reports (Part 353),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-353,FDIC
Industrial Banks (Part 354),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-354,FDIC
Economically Depressed Regions (Part 357),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-357,FDIC
Golden Parachute and Indemnification Payments (Part 359),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-359,FDIC
Resolution and Receivership Rules (Part 360),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-360,FDIC
Minority and Women Outreach Program-Contracting (Part 361),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-361,FDIC
Activities of Insured State Banks and Insured Savings Associations (Part 362),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-362,FDIC
Annual Independent Audits and Reporting Requirements (Part 363),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-363,FDIC
Standards for Safety and Soundness (Part 364),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-364,FDIC
Real Estate Lending Standards (Part 365),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-365,FDIC
Minimum Standards of Integrity and Fitness for FDIC Contractors (Part 366),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-366,FDIC
Suspension and Exclusion of Contractors and Termination of Contracts (Part 367),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-367,FDIC
Government Securities Sales Practices (Part 368),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-368,FDIC
Prohibition Against Use of Interstate Branches Primarily for Deposit Production (Part 369),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-369,FDIC
Recordkeeping for Timely Deposit Insurance Determination (Part 370),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-370,FDIC
Recordkeeping Requirements for Qualified Financial Contracts (Part 371),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-371,FDIC
Credit Risk Retention (Part 373),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-373,FDIC
Orderly Liquidation Authority (Part 380),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-380,FDIC
Resolution Plans (Part 381),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-381,FDIC
Restrictions on Qualified Financial Contracts (Part 382),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-382,FDIC
Regulations Transferred from the Office of Thrift Supervision (Part 390),https://www.ecfr.gov/current/title-12/chapter-III/subchapter-B/part-390,FDIC
SEC Regulation S-K (Standard Instructions for Forms),https://www.ecfr.gov/current/title-17/chapter-II/part-229,SEC
SEC Regulation S-X (Form and Content of Financial Statements),https://www.ecfr.gov/current/title-17/chapter-II/part-210,SEC
SEC Regulation A (Exemptions for Small Offerings),https://www.ecfr.gov/current/title-17/chapter-II/part-230/subject-group-ECFR68d879261fb42fb,SEC
SEC Regulation D (Private Offering Exemptions),https://www.ecfr.gov/current/title-17/chapter-II/part-230/section-230.501,SEC
SEC Regulation M (Anti-Manipulation Rules Concerning Securities Offerings),https://www.ecfr.gov/current/title-17/chapter-II/part-242,SEC
SEC Regulation NMS (National Market System),https://www.federalregister.gov/documents/2022/12/29/2022-27616/regulation-nms-minimum-pricing-increments-access-fees-and-transparency-of-better-priced-orders,SEC
SEC Regulation SHO (Short Sales),https://www.ecfr.gov/current/title-17/chapter-II/part-242/subject-group-ECFR1607681c7b4f78d,SEC
SEC Regulation ATS (Alternative Trading Systems),https://www.ecfr.gov/current/title-17/chapter-II/part-242/subject-group-ECFRac2946ebe78200b,SEC
SEC Regulation G (Disclosure of Non-GAAP Financial Measures),https://www.ecfr.gov/current/title-17/chapter-II/part-244/section-244.100,SEC
SEC Regulation FD (Fair Disclosure),https://www.ecfr.gov/current/title-17/chapter-II/part-243/section-243.100,SEC
SEC Regulation Crowdfunding (Exemptions for Crowdfunding),https://www.ecfr.gov/current/title-17/chapter-II/part-227,SEC
SEC Regulation Best Interest (Standards of Conduct for Broker-Dealers),https://www.ecfr.gov/current/title-17/chapter-II/part-240/section-240.15l-1,SEC
SEC Regulation SCI (Systems Compliance and Integrity),https://www.ecfr.gov/current/title-17/chapter-II/part-242/subpart-ECFRe106e84e67e2bc9,SEC
SEC Regulation AB (Asset-Backed Securities),https://www.ecfr.gov/current/title-17/chapter-II/part-229/subpart-229.1100,SEC
SEC Regulation AC (Analyst Certification),https://www.ecfr.gov/current/title-17/chapter-II/part-242/subject-group-ECFR2394922a46f0974,SEC
SEC Regulation S-T (General Rules for Electronic Filings),https://www.ecfr.gov/current/title-17/chapter-II/part-232,SEC
SEC Regulation BTR (Blackout Trading Restrictions),https://www.ecfr.gov/current/title-17/chapter-II/part-245,SEC
SEC Regulation SBSR (Security-Based Swap Reporting),https://www.ecfr.gov/current/title-17/chapter-II/part-242/subject-group-ECFR85dbc2a0e9d1443,SEC
