term,answer,category
express trust,"        
‘express trust’ means a trust intentionally set up by the settlor, inter vivos or on death, usually in a form of written document, to place assets under the control of a trustee for the benefit of a beneficiary or for a specified purpose",EMIR
objects of a power,‘objects of a power’ means the natural or legal persons or class of natural or legal persons among whom trustees may select the beneficiaries in a discretionary trust,EMIR
default taker,"        
‘default taker’ means the natural or legal persons or class of natural or legal persons who are the beneficiaries of a discretionary trust should the trustees fail to exercise their discretion;",EMIR
legal arrangement,"        
‘legal arrangement’ means an express trust or an arrangement which has a similar structure or function to an express trust, including fiducie and certain types of Treuhand and fideicomiso",EMIR
management body,"        
‘management body’ means an obliged entity’s body or bodies, which are appointed in accordance with national law, which are empowered to set the obliged entity’s strategy, objectives and overall direction, and which oversee and monitor management decision-making, and include the persons who effectively direct the business of the obliged entity; where no such body exists, the person who effectively directs the business of the obliged entity",EMIR
management body in its management function,‘management body in its management function’ means the management body responsible for the day-to-day management of the obliged entity,EMIR
management body in its supervisory function’,"        
‘management body in its supervisory function’ means the management body acting in its role of overseeing and monitoring management decision-making",EMIR
senior management,"        
‘senior management’ means the members of the management body in its management function, as well as officers and employees with sufficient knowledge of the obliged entity’s money laundering and terrorist financing risk exposure and sufficient seniority to take decisions affecting its risk exposure",EMIR
group,"        
‘group’ means a group of undertakings which consists of a parent undertaking, its subsidiaries, as well as undertakings linked to each other by a relationship within the meaning of Article 22 of Directive 2013/34/EU",EMIR
Authorized Trader,person who may submit orders to the Exchange on behalf of his or her member organization.,securities and exchanges
"Away Market

","means any exchange, alternative trading system (""ATS"") or other broker-dealer (1) with which the Exchange maintains an electronic linkage and (2) that provides instantaneous responses to orders routed from the Exchange. The Exchange will designate from time to time those ATSs or other broker-dealers that qualify as Away Markets.",securities and exchanges
Eligible Security,"means any equity security (i) either listed on the Exchange or traded on the Exchange pursuant to a grant of unlisted trading privileges under Section 12(f) of the Exchange Act and (ii) specified by the Exchange to be traded on the Exchange or other facility, as the case may be.",securities and exchanges
Exchange,means New York Stock Exchange LLC.,securities and exchanges
Exchange Act,"shall mean the Securities Exchange Act of 1934, as amended.",securities and exchanges
Exchange Book,"refers to the Exchange's electronic file of orders, which contains all orders entered on the Exchange.",securities and exchanges
Exchange Traded Product,"means a security that meets the definition of “derivative securities product” in Rule 19b-4(e) under the Securities Exchange Act of 1934 and a “UTP Exchange Traded Product” means one of the following Exchange Traded Products that trades on the Exchange pursuant to unlisted trading privileges:Equity Linked Notes,
Investment Company Units listed pursuant to NYSE Arca, Inc. Rule 5.2- E(j)(3) and Index Fund Shares listed pursuant to Cboe BZX Exchange, Inc. Rule 14.11(c) or Nasdaq Stock Exchange LLC Rule 5705(b),
Index-Linked Exchangeable Notes,Equity Gold Shares,Equity Index-Linked Securities,Commodity-Linked Securities,Currency-Linked Securities,Fixed-Income Index-Linked Securities,Futures-Linked Securities,Multifactor-Index-Linked Securities,Trust Certificates,Currency and Index Warrants,Portfolio Depository Receipts,Trust Issued Receipts,Commodity-Based Trust Shares,Currency Trust Shares,Commodity Index Trust Shares,Commodity Futures Trust Shares,Partnership Units,Paired Trust Shares,Trust Units,Managed Fund Shares,Managed Trust Securities,Managed Portfolio Shares, and Active Proxy Portfolio Shares listed pursuant to NYSE Arca, Inc. Rule 8.601- E, Tracking Fund Shares listed pursuant to Cboe BZX Exchange, Inc. Rule 14.11(m), and Proxy Portfolio Shares listed pursuant to Nasdaq Stock Market LLC Rule 5750.",securities and exchanges
Marketable,"for a Limit Order, an order that can be immediately executed or routed. Market Orders are always considered Marketable.",securities and exchanges
NMS Stock,"means any security, other than an option, for which transaction reports are collected, processed, and made available pursuant to an effective transaction reporting plan.",securities and exchanges
Non-DMM Market Maker,means a member organization that acts as a Non-DMM Market Maker pursuant to Rule 7P.,securities and exchanges
Rule 2010. Standards of Commercial Honor and Principles of Trade ,"A member or member organization, in the conduct of its business, shall observe high standards of commercial honor and just and equitable principles of trade.",securities and exchanges
"Rule 2020. Use of Manipulative, Deceptive or Other Fraudulent Devices ","No member or member organization shall effect any transaction in, or induce the purchase or sale of, any security by means of any manipulative, deceptive or other fraudulent device or contrivance.",securities and exchanges
System Securities,shall mean (A) all securities listed on Nasdaq and (B) all securities subject to the Consolidated Tape Association Plan and the Consolidated Quotation Plan except securities specifically excluded from trading via a list of excluded securities posted on www.nasdaqtrader.com.,securities and exchanges
Audit,a formal review of a person or company's financial records by professional accountants,Accounting and Auditing
Financial Statement Audit,"engagement performed by an independent accountant, designed to demonstrate that an organization’s financial statements are prepared in accordance with generally accepted accounting principles (GAAP) or other recognized frameworks",Accounting and Auditing
Insurance Scores,confidential ratings calculated by insurance companies primarily by using data from your credit history,Accounting and Auditing
Default Risk,"risk a lender takes that a borrower will not make the required payments on a debt obligation, such as a loan, a bond, or a credit card.",Accounting and Auditing
Reserve Ratio,"portion of reservable liabilities that commercial banks must hold onto, rather than lend out or invest",Accounting and Auditing
Comptroller,a high-level executive that oversees the accounting tasks and financial reporting procedures of organizations,Accounting and Auditing
National Member Bank,any national bank which is a member of the Federal Reserve System,Accounting and Auditing
State Member Bank,any State bank which is a member of the Federal Reserve System,Accounting and Auditing
Mutual Savings Bank,"a bank without capital stock transacting a savings bank business, the net earnings of which inure wholly to the benefit of its depositors after payment of obligations for any advances by its organizers",Accounting and Auditing
Trust Funds,"funds held by an insured depository institution in a fiduciary capacity and includes, without being limited to, funds held as trustee, executor, administrator, guardian, or agent",Accounting and Auditing
Default,"any adjudication or other official determination by any court of competent jurisdiction, the appropriate Federal banking agency, or other public authority pursuant to which a conservator, receiver, or other legal custodian is appointed for an insured depository institution or, in the case of a foreign bank having an insured branch, for such branch",Accounting and Auditing
Insurance Fraud,a deliberate deception perpetrated against or by an insurance company or agent for financial gain,Accounting and Auditing
Abuse,"behavior that is deficient or improper when compared with behavior that a prudent person would consider reasonable and necessary business practice given the facts and circumstances, but excludes fraud and noncompliance with provisions of laws, regulations, contracts, and grant agreements",Accounting and Auditing
Amortization,process of reducing a recognized liability systematically by recognizing gains or by reducing a recognized asset systematically by recognizing losses.,Accounting and Auditing
Assertion,"management’s implicit or explicit representation to the auditor relating to recognition, measurement, and presentation of the financial statement items and disclosures.",Accounting and Auditing
Attestation Engagements,"examination, review, or agreed-upon procedures engagement performed under the attestation standards related to subject matter or an assertion that is the responsibility of another party.",Accounting and Auditing
Earmarking,"includes requirements that specify the minimum and/or maximum amount or percentage of the program’s funding that must/may be used for specified activities, including funds provided to subrecipients.",Accounting and Auditing
Misfeasance,not doing a lawful act in a proper manner.,Accounting and Auditing
Scope,the boundary of the audit and is directly tied to the audit objectives.,Accounting and Auditing
Population,the entire set of data from which a sample is selected and about which the auditor wishes to draw conclusions.,Accounting and Auditing
Opinion Unit,"a reporting unit, or aggregation of reporting units, of a governmental entity.",Accounting and Auditing
Malfeasance,"wrongful or unjust doing of some act which the doer has no right to perform, or which he has stipulated by contract not to do.",Accounting and Auditing
Infrastructure Asset,long-lived capital asset that is normally stationary and can be preserved for a significantly greater number of years than most capital assets.,Accounting and Auditing
Grantor,government agency from which funding for the government program originates.,Accounting and Auditing
Repeat Finding,finding in a subsequent report that is the same as or substantially similar to the finding contained in a previous report.,Accounting and Auditing
Representation Letter,written statement by management provided to the auditor to confirm certain matters or to support other audit evidence.,Accounting and Auditing
Sampling,"the selection and evaluation of less than 100 percent of the population of audit relevance such that the auditor expects the items selected (the sample) to be representative of the population and thus, likely to provide reasonable assurance for conclusions about the entire population",Accounting and Auditing
Transparency,government’s obligation to share information with citizens that is needed to make informed decisions and hold officials accountable for the conduct of the people’s business.,Accounting and Auditing
Uniform Guidance,the authoritative set of rules and requirements for federal awards.,Accounting and Auditing
Unmodified Opinion,"opinion expressed by the auditor when the auditor concludes that the financial statements are presented fairly, in all material respects, in accordance with the applicable financial reporting framework.",Accounting and Auditing
Monetary Policy,"The actions taken by the Federal Reserve to manage the money supply and interest rates in order to influence economic activity, primarily aimed at achieving maximum employment, stable prices, and moderate long-term interest rates.",Federal Reserve Regulations
Discount Rate,"The interest rate charged by the Federal Reserve to commercial banks and other depository institutions on loans they receive from the Federal Reserve's lending facility, known as the discount window.",Federal Reserve Regulations
Reserve Requirements,The regulation set by the Federal Reserve that determines the minimum amount of reserves that a depository institution must hold against its deposit liabilities. These reserves can be held in the form of vault cash or deposits with the Federal Reserve.,Federal Reserve Regulations
Federal Open Market Committee (FOMC),"The branch of the Federal Reserve responsible for overseeing open market operations, which include the buying and selling of government securities, to control the money supply and influence interest rates.",Federal Reserve Regulations
Open Market Operations,The buying and selling of U.S. Treasury and other government securities in the open market by the Federal Reserve in order to influence the supply of money and credit in the economy.,Federal Reserve Regulations
Federal Funds Rate,"The interest rate at which depository institutions lend reserve balances to other depository institutions overnight, and it is a key benchmark interest rate that the Federal Reserve influences through its monetary policy actions.",Federal Reserve Regulations
Quantitative Easing (QE),"A monetary policy tool used by the Federal Reserve that involves purchasing long-term securities, such as Treasury bonds and mortgage-backed securities, to inject liquidity into the economy and lower long-term interest rates.",Federal Reserve Regulations
Dual Mandate,"The Federal Reserve's congressionally assigned objectives of achieving maximum employment and stable prices (low inflation), which guide its monetary policy decisions.",Federal Reserve Regulations
Supervision and Regulation,"The Federal Reserve's oversight of banks, bank holding companies, and financial institutions to ensure they operate in a safe and sound manner, comply with laws and regulations, and contribute to the overall stability of the financial system.",Federal Reserve Regulations
Stress Tests,Simulations conducted by the Federal Reserve to assess how banks and financial institutions can withstand adverse economic conditions and maintain sufficient capital to operate effectively.,Federal Reserve Regulations
Beneficial Ownership Reporting,"Refers to the requirement for “reporting companies” to disclose their beneficial owners to the Financial Crimes Enforcement Network (FinCEN). This rule, which became effective on January 1, 2024, mandates that companies report key information about their ownership within specific deadlines based on their creation date.",Federal Reserve Regulations
Debit Card Interchange Fee,"A proposed Federal Reserve rule in 2023 to lower the maximum fee large debit card issuers can charge for each transaction. The new caps would reduce the fee from 21 cents plus 0.05% of the transaction amount to 14.4 cents plus 0.04%, with a separate fraud-prevention adjustment. This change is set to take effect on June 30, 2025.",Federal Reserve Regulations
Automated Valuation Models (AVMs),"Federal Reserve rule proposed in June 2023 to require quality control standards for AVMs used in mortgage originations and securitizations. The standards aim to ensure accuracy and prevent discriminatory practices in property valuations, addressing concerns over bias and conflicts of interest.",Federal Reserve Regulations
Reconsideration of Value (ROV) Guidance,"Issued in 2023, this proposed guidance provides a process for consumers to challenge residential real estate valuations by submitting evidence of errors or biases. This process is part of efforts to ensure accuracy and fairness in real estate appraisals, particularly in response to concerns over racial bias.",Federal Reserve Regulations
Community Reinvestment Act (CRA) Modernization,"A finalized rule in October 2023 modernizes the CRA to better evaluate how well banks serve low- and moderate-income communities. This includes updated data collection requirements and new ways to measure a bank’s impact on these communities, ensuring their lending practices are equitable and fair.",Federal Reserve Regulations
Reserve Requirement Amendments,"The Federal Reserve's amendment for 2024 continues to index the reserve requirement exemption amount and the low reserve tranche for depository institutions, allowing certain banks to maintain lower reserve amounts based on their asset size.",Federal Reserve Regulations
Federal Funds Rate Adjustments,"Regular changes by the Federal Reserve to the rate at which banks lend reserves to one another overnight. As of September 2024, the rate was lowered to 4.9%, part of ongoing adjustments aimed at controlling inflation and stabilizing the economy.",Federal Reserve Regulations
Climate-Related Financial Risk Management,Refers to the Federal Reserve's principles and guidelines for large financial institutions to manage risks associated with climate change. This includes identifying and mitigating the physical and transition risks that climate change poses to the financial system.,Federal Reserve Regulations
Capital Requirements for Insurers,Federal Reserve regulations that set capital and risk management requirements for insurance companies under the supervision of the Federal Reserve. These requirements ensure that insurers maintain sufficient financial resources to cover their risks and obligations.,Federal Reserve Regulations
Central Bank Digital Currency (CBDC),"A concept under exploration by the Federal Reserve involving the issuance of a digital form of the U.S. dollar. CBDCs could facilitate secure, efficient payments and offer a stable alternative to cryptocurrencies while being fully regulated by the government.",Federal Reserve Regulations
Cybersecurity Risk Management,"Federal Reserve rules and guidelines that require financial institutions to implement robust cybersecurity measures. These include risk assessments, data protection, and response strategies to safeguard against cyber threats that could disrupt the financial system.",Federal Reserve Regulations
FedNow Service,"A Federal Reserve initiative providing real-time payments for financial institutions, allowing them to offer faster, 24/7/365 payment processing to businesses and consumers. This service enhances the efficiency and accessibility of payment systems.",Federal Reserve Regulations
Volcker Rule,"Part of the Dodd-Frank Act, this regulation restricts banks from engaging in certain speculative investments that do not benefit their customers. It aims to reduce risky behaviors that contributed to the 2008 financial crisis by limiting proprietary trading and relationships with hedge funds and private equity funds.",Federal Reserve Regulations
Liquidity Coverage Ratio (LCR),A Federal Reserve regulation that requires banks to hold a sufficient amount of high-quality liquid assets (HQLA) to cover their total net cash outflows for a 30-day stress period. This ensures that banks can meet short-term obligations during financial stress.,Federal Reserve Regulations
Resolution Planning (Living Wills),"Large banks are required to submit resolution plans, often referred to as ""living wills,"" to the Federal Reserve. These plans detail how the bank could be dismantled in an orderly fashion in the event of failure, without requiring taxpayer bailouts or causing significant harm to the financial system.",Federal Reserve Regulations
Stress Testing Requirements,Federal Reserve regulations that mandate regular stress tests for large financial institutions to assess their ability to withstand adverse economic scenarios. These tests evaluate the institution's capital adequacy and risk management practices.,Federal Reserve Regulations
Countercyclical Capital Buffer,"A financial regulation allowing the Federal Reserve to require banks to hold additional capital during periods of economic growth. This buffer can be relaxed during downturns to encourage lending and investment, thus helping to stabilize the economy.",Federal Reserve Regulations
Interest on Excess Reserves (IOER),"The Federal Reserve pays interest on the excess reserves that banks hold at the central bank, encouraging financial institutions to hold reserves and providing a tool for the Fed to influence short-term interest rates.",Federal Reserve Regulations
Bank Holding Company Act (BHCA),"This regulation governs the actions of bank holding companies, including acquisitions, ownership, and control of commercial banks. It limits non-banking activities of these companies to maintain financial stability.",Federal Reserve Regulations
Regulation Q,"A historical regulation that once prohibited banks from paying interest on demand deposits. Though no longer in effect, Regulation Q played a crucial role in shaping U.S. banking policies by limiting competitive interest rate increases among banks.",Federal Reserve Regulations
Interchange Fee Regulations (Durbin Amendment),"Part of the Dodd-Frank Act, enforced by the Federal Reserve, limits the fees banks can charge merchants for processing debit card transactions. This regulation is aimed at reducing costs for consumers and businesses.",Federal Reserve Regulations
Truth in Lending Act (Regulation Z),"This regulation requires lenders to provide clear and transparent information about the terms of loans, such as interest rates and fees, helping consumers make informed financial decisions. It also enforces consumer protections, such as prohibiting unfair credit card practices.",Federal Reserve Regulations
Regulation P (Privacy of Consumer Financial Information),This regulation restricts how financial institutions can share consumers’ personal financial information with nonaffiliated third parties. It also outlines consumers' rights to opt out of certain types of information sharing.,Federal Reserve Regulations
Regulation Y (Bank Holding Companies and Change in Bank Control),"Establishes standards for bank holding companies, including financial and managerial requirements, acquisition of non-bank companies, and approval processes for control changes in banks.",Federal Reserve Regulations
Regulation H (Membership of State Banking Institutions),"Outlines requirements for state-chartered banks to become members of the Federal Reserve System. It addresses issues such as capitalization, reserves, and lending limits for member banks.",Federal Reserve Regulations
Community Advisory Council (CAC),"A Federal Reserve council that provides the Board of Governors with perspectives and advice on economic conditions and the financial needs of underserved and low- to moderate-income communities, reflecting a regulatory focus on financial inclusion.",Federal Reserve Regulations
Payment System Risk (PSR) Policy,"Establishes guidelines to manage risks associated with payment, clearing, and settlement systems. The policy addresses daylight overdrafts, credit exposure, and liquidity risks to ensure the safe operation of payment systems.",Federal Reserve Regulations
